open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1698796800000,34651.40,34684,34513.80,34562.70,7867.836,1698798599999,272290992.27470,104101,3102.335,107378731.49290,0
1698798600000,34562.90,34618.10,34506.70,34522.30,3839.572,1698800399999,132681954.28076,59146,1497.572,51753768.91526,0
1698800400000,34522.30,34567.60,34475.30,34564.30,3151.908,1698802199999,108824377.10350,46181,1699.652,58693891.14910,0
1698802200000,34564.30,34575,34486.40,34507,2101.927,1698803999999,72564967.95660,29209,1040.452,35919682.67800,0
1698804000000,34507,34510.20,34434.50,34486.30,2734.418,1698805799999,94274760.36130,33672,1028.260,35454116.31830,0
1698805800000,34486.40,34512,34458,34466.20,1490.311,1698807599999,51397611.20970,23577,701.767,24203678.33890,0
1698807600000,34466.20,34482.40,34417.70,34439.10,2463.740,1698809399999,84888655.05180,28020,927.734,31966677.07210,0
1698809400000,34439.10,34458,34406.40,34430,2332.294,1698811199999,80305266.46853,32100,1040.918,35844171.11470,0
1698811200000,34429.90,34469.60,34400,34460.20,2314.600,1698812999999,79695885.58930,30781,1318.495,45402370.00550,0
1698813000000,34460.20,34484,34426.90,34456.60,1833.125,1698814799999,63181135.80920,26436,1059.990,36535865.39490,0
1698814800000,34456.60,34459.90,34400,34445.30,2301.189,1698816599999,79215758.34300,33971,1283.425,44180618.23360,0
1698816600000,34445.30,34446.90,34342.50,34364.90,3895.518,1698818399999,133962681.14580,45949,1682.203,57850345.90080,0
1698818400000,34365,34411.30,34330.40,34393.70,2846.962,1698820199999,97855462.72160,42422,1648.032,56647487.62380,0
1698820200000,34393.70,34434.40,34381.90,34422.90,2011.937,1698821999999,69246230.84250,28046,1046.190,36007721.09880,0
1698822000000,34422.90,34514.50,34404.80,34471.60,3179.465,1698823799999,109580021.52190,39337,1848.651,63711561.64050,0
1698823800000,34471.60,34520,34445,34463.90,2624.907,1698825599999,90524861.21590,36434,1275.218,43980545.46350,0
1698825600000,34464,34489.50,34424.90,34472.40,2303.840,1698827399999,79383861.54580,32290,1161.232,40016175.69460,0
1698827400000,34472.50,34497,34447.40,34454,1426.072,1698829199999,49157937.65590,21900,629.110,21687040.99590,0
1698829200000,34454,34476.90,34424.60,34469,1526.748,1698830999999,52602932.23900,23137,727.790,25077021.76340,0
1698831000000,34469,34515.10,34447.30,34499.90,2038.330,1698832799999,70280053.66760,28189,1085.364,37423489.33820,0
1698832800000,34500,34502,34441,34452.60,1591.587,1698834599999,54859682.41130,21774,669.237,23066503.22700,0
1698834600000,34452.60,34452.70,34366,34387.60,4350.390,1698836399999,149665021.19690,53550,1735.464,59703697.11140,0
1698836400000,34387.50,34429.70,34354,34392.30,3590.793,1698838199999,123488035.12020,43673,1974.288,67903534.43360,0
1698838200000,34392.40,34469.90,34385.20,34442.90,2836.818,1698839999999,97653165.38270,34262,1572.668,54140308.35700,0
1698840000000,34442.90,34449.70,34355,34379.30,3709.012,1698841799999,127583209.66420,46386,1638.784,56370212.60690,0
1698841800000,34379.30,34949.60,34365,34825.40,33753,1698843599999,1171878326.96731,292437,20233.616,702333754.78545,0
1698843600000,34825.40,35249,34658,34753.50,55012.384,1698845399999,1921801687.08037,485827,28232.784,986614663.70330,0
1698845400000,34753.60,34785.20,34400,34612.70,42530.790,1698847199999,1469314009.82493,387134,18343.648,633844519.92184,0
1698847200000,34612.80,34676.70,34540.50,34601.90,11733.547,1698848999999,406156736.07730,137781,5725.528,198211330.72700,0
1698849000000,34601.80,34628,34076,34184.60,30505.405,1698850799999,1046021225.39224,291104,12917.121,442865333.34990,0
1698850800000,34184.20,34323.20,34164.10,34292.50,12783.767,1698852599999,437991616.83700,152165,6445.184,220825548.29030,0
1698852600000,34292.50,34319.60,34203.30,34296.90,5382.885,1698854399999,184447791.25550,73085,2702.611,92608946.00060,0
1698854400000,34296.90,34463.50,34288.80,34440.40,7396.175,1698856199999,254282326.17033,86772,4264.875,146634875.18163,0
1698856200000,34440.50,34559.40,34381.70,34458.40,11081.049,1698857999999,381906660.78682,117290,5754.563,198359990.58322,0
1698858000000,34458.40,34510,34394.40,34408.90,4831.492,1698859799999,166505271.43370,57314,2040.527,70324050.76770,0
1698859800000,34408.90,34544,34343,34526.80,8413.917,1698861599999,290024013.93730,96739,4544.191,156668449.23960,0
1698861600000,34527,34637,34451,34610,11010.590,1698863399999,380386766.79102,131668,5871.037,202848652.84402,0
1698863400000,34610,34750,34450.30,34579.30,16588.328,1698865199999,573952897.70496,200035,8454.870,292609621.02430,0
1698865200000,34579.30,34730.50,34514.50,34684.80,8855.043,1698866999999,306545484.02334,124826,4396.600,152228993.10684,0
1698867000000,34684.80,34714.60,34498,34564.30,8729.909,1698868799999,301933129.76776,105066,3825.881,132325541.99410,0
1698868800000,34564.10,34813.30,34538.60,34810.60,11353.206,1698870599999,394073224.27156,110950,5898.227,204739094.45346,0
1698870600000,34810.50,35599,34755.40,35493.70,39622.611,1698872399999,1392838117.02335,369426,23391.974,822603086.65342,0
1698872400000,35494.50,35734,35119.20,35351.40,39104.144,1698874199999,1384875451.59616,381870,19369.993,686214511.55979,0
1698874200000,35351.50,35446,35165.20,35409.30,9001.645,1698875999999,317795417.37082,113779,4358.213,153889124.65247,0
1698876000000,35409.30,35561.50,35280.40,35298.50,13192.207,1698877799999,467651683.41877,151495,6050.585,214548964.52270,0
1698877800000,35298.60,35364.60,35205,35304.10,6828.593,1698879599999,240837898.82847,83575,3491.603,123156800.13370,0
1698879600000,35304.20,35482.70,35237.60,35455.50,6976.940,1698881399999,246872584.15834,88951,3942.324,139497947.22874,0
1698881400000,35455.50,35484,35395,35437.40,4163.861,1698883199999,147583532.02200,59175,1782.885,63196589.63410,0
1698883200000,35437.50,35687.30,35424.90,35520.10,12206.787,1698884999999,433905611.75788,138023,6446.158,229179043.68955,0
1698885000000,35520.20,35534.10,35378.30,35437.80,8554.549,1698886799999,303207933.70881,103653,3599.986,127601775.91950,0
1698886800000,35437.90,35582.20,35437.80,35582.20,5298.010,1698888599999,188119016.98977,76373,2942.754,104494826.90377,0
1698888600000,35582.30,35638.90,35474,35583.70,5860,1698890399999,208469428.69460,86450,2827.619,100602043.46500,0
1698890400000,35583.70,35717.60,35530,35600.20,6939.010,1698892199999,247042992.94628,94468,3497.828,124561815.64425,0
1698892200000,35600.10,35999.90,35592.70,35692.50,27174.801,1698893999999,973168853.83306,279752,14333.208,513388487.86580,0
1698894000000,35692.70,35832.40,35631.20,35635.60,12157.186,1698895799999,434316705.77074,151775,5276.471,188532146.64314,0
1698895800000,35635.60,35651.80,35550,35578,7641.551,1698897599999,272074867.82575,93084,3489.100,124234620.03540,0
1698897600000,35577.90,35613,35472,35520,6045.413,1698899399999,214942415.72523,73695,2438.781,86722192.14063,0
1698899400000,35520,35562.60,35455,35469.80,4809.563,1698901199999,170777516.32887,66842,2222.302,78918094.02110,0
