open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1723161600000,61659.80,61726.00,61308.50,61519.20,9391.062,1723163399999,577661487.68640,115293,4960.249,305133066.20370,0
1723163400000,61519.20,61645.70,61061.00,61187.10,8517.901,1723165199999,522573677.12130,104932,4313.651,264718356.41110,0
1723165200000,61187.00,61275.60,60728.70,61209.80,11467.533,1723166999999,699375528.66200,118830,4989.447,304384899.58220,0
1723167000000,61209.70,61513.60,61142.00,61366.70,4341.287,1723168799999,266362816.24960,64342,2162.993,132714772.75210,0
1723168800000,61366.70,61428.70,61100.00,61244.60,3214.538,1723170599999,196968584.73820,54307,1306.031,80032327.86860,0
1723170600000,61244.50,61412.50,61130.60,61203.90,2581.677,1723172399999,158187067.63380,42469,1263.588,77426956.80010,0
1723172400000,61204.00,61540.00,61200.00,61346.40,2947.018,1723174199999,180855627.19040,46841,1611.866,98918449.45150,0
1723174200000,61346.40,61479.00,61125.70,61327.00,2907.060,1723175999999,178108205.16790,42185,1329.583,81471818.57880,0
1723176000000,61327.00,61361.90,60960.00,60995.30,3554.975,1723177799999,217449233.05500,51074,1439.236,88065077.93420,0
1723177800000,60995.20,61131.60,60688.00,60699.80,5682.048,1723179599999,345795914.86100,75734,2660.767,161957270.95100,0
1723179600000,60699.80,60977.00,60555.00,60835.00,5982.651,1723181399999,363674912.83320,78549,2861.773,174017117.46670,0
1723181400000,60835.00,60970.00,60824.00,60957.30,1791.456,1723183199999,109102877.00370,30362,869.505,52958163.09490,0
1723183200000,60957.30,61000.00,60740.00,60777.60,3046.963,1723184999999,185464524.45510,45704,1420.798,86491601.04890,0
1723185000000,60777.50,61092.00,60705.00,60855.80,5014.454,1723186799999,305680373.45780,59195,2852.766,173932613.39550,0
1723186800000,60855.80,61200.00,60820.20,61075.60,4481.376,1723188599999,273676603.23500,54873,2681.231,163754435.34730,0
1723188600000,61075.60,61082.10,60721.90,60844.00,3319.222,1723190399999,202014146.21950,46711,1472.134,89588110.79730,0
1723190400000,60844.10,60958.00,60574.00,60913.40,5238.105,1723192199999,318057617.64430,68087,2613.804,158737531.45570,0
1723192200000,60913.30,61087.50,60913.30,61063.00,3020.106,1723193999999,184225409.17300,43426,1778.324,108489811.09260,0
1723194000000,61063.00,61184.90,60855.00,60904.70,3852.247,1723195799999,235082579.15180,53998,1703.446,103970773.29660,0
1723195800000,60904.70,60940.40,60675.00,60723.80,4640.413,1723197599999,282111268.39590,60443,2090.013,127070116.38880,0
1723197600000,60723.80,60822.00,60150.00,60629.60,12283.976,1723199399999,742689188.69090,138219,5481.197,331410285.14280,0
1723199400000,60629.50,60719.10,60210.00,60574.00,7602.775,1723201199999,459772973.13920,100436,3899.266,235821136.06100,0
1723201200000,60574.10,60775.00,60420.30,60451.50,4675.656,1723202999999,283378435.98630,66599,2176.194,131929406.32430,0
1723203000000,60451.50,60723.90,60321.60,60633.50,3091.120,1723204799999,187112132.36730,51613,1667.491,100932953.99430,0
1723204800000,60633.50,60774.00,60354.30,60374.40,4607.625,1723206599999,279113967.98830,65560,2185.208,132391250.22310,0
1723206600000,60374.40,60560.60,60206.70,60531.40,4630.761,1723208399999,279650304.63470,73808,2374.373,143411249.92800,0
1723208400000,60531.50,60720.00,60154.50,60347.60,6877.442,1723210199999,415289573.26230,95052,3641.535,219929889.78830,0
1723210200000,60347.60,60515.50,59764.30,60425.40,19352.328,1723211999999,1163088731.22180,233115,9474.722,569489592.51210,0
1723212000000,60425.50,61089.70,60253.00,60302.10,20979.615,1723213799999,1273378802.13460,247798,10305.945,625770050.90660,0
1723213800000,60302.40,60536.00,59500.00,60322.00,22450.999,1723215599999,1345557096.62450,258614,10793.827,646922612.65340,0
1723215600000,60322.10,60553.20,60059.20,60218.30,8122.223,1723217399999,489800185.98760,109190,3878.159,233915558.49470,0
1723217400000,60218.30,60334.40,59754.80,59786.40,8668.835,1723219199999,519851569.78860,95807,3881.404,232761124.35040,0
1723219200000,59786.40,60259.30,59705.90,60027.10,10783.625,1723220999999,646134170.37100,105722,6339.392,379902871.03880,0
1723221000000,60027.00,60428.90,59979.00,60406.60,6084.021,1723222799999,366294942.56420,81517,3329.429,200475492.05850,0
1723222800000,60406.70,60724.90,60290.90,60395.90,5740.359,1723224599999,347111740.97280,74461,3177.528,192176503.91320,0
1723224600000,60396.00,60685.80,60122.90,60172.70,5053.153,1723226399999,305356996.13520,66029,2646.230,159974601.55200,0
1723226400000,60172.70,60300.00,59803.20,60036.20,6118.853,1723228199999,367200940.28200,76722,2951.167,177123132.19220,0
1723228200000,60036.10,60350.00,60008.80,60291.10,3191.744,1723229999999,192111629.56800,54051,1855.560,111683519.57170,0
1723230000000,60291.10,60547.40,60092.80,60508.50,3446.381,1723231799999,208112188.33710,55318,1573.720,95031377.59000,0
1723231800000,60508.60,60729.50,60418.40,60649.50,4068.020,1723233599999,246509747.41400,60098,1945.242,117900580.80630,0
1723233600000,60649.60,60961.50,60579.90,60709.70,3956.155,1723235399999,240330439.36570,59259,2124.908,129095050.18640,0
1723235400000,60709.80,60866.80,60481.50,60707.20,3614.971,1723237199999,219302014.89380,53220,1554.689,94314910.38980,0
1723237200000,60707.20,60707.50,59862.60,60156.80,9361.377,1723238999999,563273162.77970,111334,4372.985,263091607.16270,0
1723239000000,60156.80,60850.80,60046.50,60696.60,7160.706,1723240799999,433081111.77670,72187,4592.231,277660414.99620,0
1723240800000,60696.60,60850.00,60250.10,60829.90,10073.220,1723242599999,609909927.33130,132435,5500.905,333103677.55750,0
1723242600000,60829.90,60955.00,60517.50,60726.10,4086.715,1723244399999,248116255.66350,62529,1909.286,115929359.35010,0
1723244400000,60726.10,60749.00,60312.00,60585.00,2904.715,1723246199999,175778147.07470,47898,1454.647,88020815.20970,0
1723246200000,60584.90,60897.00,60528.00,60808.60,4694.877,1723247999999,285189025.42140,57176,2540.012,154301316.14050,0
